Project Geographic District ,Project Building Identifier,Project School Name,Project Type ,Project Description,Project Phase Name,Project Status Name,Project Phase Actual Start Date,Project Phase Planned End Date,Project Phase Actual End Date,Project Budget Amount,Final Estimate of Actual Costs Through End of Phase Amount,Total Phase Actual Spending Amount,DSF Number(s)
3,M166,P.S. 166 - MANHATTAN,SCA CIP RESOA,PATH OF TRAVEL RESO A LIBRARY UPGRADES,Construction,PNS,PNS,PNS,PNS,30800,30800.00,2615.00,DSF0000912385
3,M166,P.S. 166 - MANHATTAN,SCA CIP RESOA,PATH OF TRAVEL RESO A LIBRARY UPGRADES,"CM,F&E",PNS,PNS,PNS,PNS,2100,2100.00,1459.00,DSF0000912385
3,M166,P.S. 166 - MANHATTAN,SCA IEH,"PO18-ACM AND LEAD DUST WIPE CLEARANCE ABATE WALL AND CEILING PLASTER IN ROOMS #210, 502(GYM)",Construction,Complete,7/23/2024,IEH,8/4/2024,IEH,0.00,0.00,SCA0000073165
3,M166,P.S. 166 - MANHATTAN,SCA Furniture & Equipment,FY20 RESO A MOBILE SCIENCE LAB,F&E,PNS,PNS,PNS,PNS,80000,80000.00,0.00,DSF0001083870
3,M166,P.S. 166 - MANHATTAN,DOE - RESOA,FY22 RESO A ROOM CONVERSION,Construction,PNS,PNS,PNS,PNS,DOER,50000.00,0.00,DSF0001033666
3,M166,P.S. 166 - MANHATTAN,DOE - RESOA,FY23 RESO A ROOM CONVERSION,Construction,In-Progress,4/5/2024,DOER,,DOER,40790.00,0.00,DSF0001035701
3,M166,P.S. 166 - MANHATTAN,DOE - RESOA,FY24 RESO A AUDITORIUM UPGRADE,Construction,PNS,PNS,PNS,PNS,DOER,350000.00,0.00,DSF0001086243
3,M166,P.S. 166 - MANHATTAN,DOE - RESOA,FY25 RESO A BATHROOM UPGRADES,Construction,PNS,PNS,PNS,PNS,DOER,75000.00,0.00,DSF0001112824
3,M166,P.S. 166 - MANHATTAN,DOE - Skilled Trades,BATHROOM UPGRADES,Construction,In-Progress,2/16/2021,DOES,,DOES,189953.00,0.00,DSF0000889609
3,M166,P.S. 166 - MANHATTAN,DOE - Skilled Trades,DEP/DOE WATER CONSERVATION FIXTURE RETROFIT PROGRAM,Construction,Complete,9/8/2022,DOES,11/17/2022,DOES,206642.00,,DSF0001009106
3,M180,P.S. 180 - MANHATTAN,SCA IEH,PO18-ABATEMENT OF PIPE INSULATION ENTRANCE OF BOILER RM WE ARE GOING TO NEED APPROXIMATELY 10' OF CO,Construction,Complete,10/8/2024,IEH,10/19/2024,IEH,0.00,0.00,SCA0000073478
3,M180,P.S. 180 - MANHATTAN,DIIT - RESOA,FY22 RESO A TECHNOLOGY UPGRADE,Purch & Install,PNS,PNS,PNS,PNS,DIIR,100000.00,0.00,DSF0001033181
3,M180,P.S. 180 - MANHATTAN,DOE - RESOA,FY20 RESO A HYDROPONICS LAB,Construction,In-Progress,12/16/2019,DOER,,DOER,170000.00,0.00,DSF0000913327
3,M180,P.S. 180 - MANHATTAN,DOE - Skilled Trades,DEP/DOE WATER CONSERVATION FIXTURE RETROFIT PROGRAM,Construction,Complete,10/18/2022,DOES,11/17/2022,DOES,104412.00,103007.00,DSF0001009121
3,M180,P.S. 180 - MANHATTAN,DOE - Skilled Trades,SCHOOL ENTRY LOCKING AND EMERGENCY NOTIFICATION SOLUTION,Construction,Complete,8/9/2024,DOES,8/23/2024,DOES,65832.00,,DSF0001084641
3,M185,P.S. 185 - MANHATTAN,SCA CIP,IPDVS INSTALLATION,Scope,Complete,3/16/2022,7/14/2022,4/12/2022,5962,3389.00,3389.00,DSF0001034363
3,M185,P.S. 185 - MANHATTAN,SCA CIP,IPDVS INSTALLATION,Design,Complete,4/12/2022,10/5/2022,7/19/2022,26831,13554.00,13554.00,DSF0001034363
3,M185,P.S. 185 - MANHATTAN,SCA CIP,IPDVS INSTALLATION,Construction,In-Progress,3/9/2023,2/1/2024,,345820,310900.00,289277.00,DSF0001034363
3,M185,P.S. 185 - MANHATTAN,SCA CIP,IPDVS INSTALLATION,"CM,F&E",In-Progress,3/9/2023,2/1/2024,,234789,203351.00,198293.00,DSF0001034363
3,M185,P.S. 185 - MANHATTAN,DIIT - RESOA,FY23 RESO A TECHNOLOGY UPGRADE,Purch & Install,PNS,PNS,PNS,PNS,DIIR,50000.00,0.00,DSF0001035706
3,M185,P.S. 185 - MANHATTAN,DOE - RESOA,FY20 RESO A GYMNASIUM UPGRADE,Construction,Complete,7/15/2022,DOER,4/23/2024,DOER,296996.00,927.00,DSF0000913091
3,M185,P.S. 185 - MANHATTAN,DOE - RESOA,FY22 RESO A HYDROPONICS LAB,Construction,Complete,7/15/2022,DOER,11/30/2023,DOER,206073.00,194474.00,DSF0001033182
3,M185,P.S. 185 - MANHATTAN,DOE - RESOA,FY25 RESO A BATHROOM UPGRADES,Construction,PNS,PNS,PNS,PNS,DOER,200000.00,0.00,DSF0001112836
3,M191,P.S. 452 - MANHATTAN,SCA CIP,FULL PROGRAM ACCESSIBILITY,Scope,Complete,8/13/2021,1/3/2022,7/29/2022,124270,127547.00,127547.00,DSF0001009215
3,M191,P.S. 452 - MANHATTAN,SCA CIP,FULL PROGRAM ACCESSIBILITY,Design,Complete,9/2/2022,2/24/2023,5/3/2023,621350,379906.00,306740.00,DSF0001009215
3,M191,P.S. 452 - MANHATTAN,SCA CIP,FULL PROGRAM ACCESSIBILITY,Construction,In-Progress,8/7/2023,8/5/2025,,13980375,12728220.00,5045798.00,DSF0001009215
3,M191,P.S. 452 - MANHATTAN,SCA CIP,FULL PROGRAM ACCESSIBILITY,"CM,F&E",In-Progress,8/7/2023,8/5/2025,,869890,384418.00,383524.00,DSF0001009215
3,M191,P.S. 452 - MANHATTAN,SCA CIP,GYM CEILING RESTORATION- PERMANENT FIX,Scope,Complete,5/17/2023,9/19/2023,8/23/2023,12427,12932.00,12932.00,DSF0001111845
3,M191,P.S. 452 - MANHATTAN,SCA CIP,GYM CEILING RESTORATION- PERMANENT FIX,Design,Complete,8/30/2023,1/19/2024,12/12/2023,55919,30850.00,27128.00,DSF0001111845
3,M191,P.S. 452 - MANHATTAN,SCA CIP,GYM CEILING RESTORATION- PERMANENT FIX,Construction,PNS,PNS,PNS,PNS,720737,720737.00,1801.00,DSF0001111845
3,M191,P.S. 452 - MANHATTAN,SCA CIP,GYM CEILING RESTORATION- PERMANENT FIX,"CM,F&E",PNS,PNS,PNS,PNS,133585,133585.00,12619.00,DSF0001111845
3,M191,P.S. 452 - MANHATTAN,SCA CIP RESOA,FY19 RESO A PLAYGROUND,Scope,Complete,12/20/2018,3/25/2019,8/7/2019,0,27407.00,27407.00,DSF0000890836
3,M191,P.S. 452 - MANHATTAN,SCA CIP RESOA,FY19 RESO A PLAYGROUND,Design,Complete,8/10/2021,12/28/2021,1/18/2022,84113,78796.00,78796.00,DSF0000890836
3,M191,P.S. 452 - MANHATTAN,SCA CIP RESOA,FY19 RESO A PLAYGROUND,Construction,In-Progress,10/31/2022,7/27/2023,,1233650,1196936.00,1050727.00,DSF0000890836
3,M191,P.S. 452 - MANHATTAN,SCA CIP RESOA,FY19 RESO A PLAYGROUND,"CM,F&E",In-Progress,10/31/2022,7/27/2023,,84113,112319.00,87266.00,DSF0000890836
3,M191,P.S. 452 - MANHATTAN,SCA Furniture & Equipment,FY25 RESO A MOBILE SCIENCE LABS,F&E,PNS,PNS,PNS,PNS,175000,175000.00,0.00,DSF0001112841
3,M191,P.S. 452 - MANHATTAN,DOE - RESOA,FY23 RESO A AUDITORIUM UPGRADE,Construction,PNS,PNS,PNS,PNS,DOER,340000.00,0.00,DSF0001035716
3,M191,P.S. 452 - MANHATTAN,DOE - Skilled Trades,DEP/DOE WATER CONSERVATION FIXTURE RETROFIT PROGRAM,Construction,Complete,9/30/2022,DOES,11/17/2022,DOES,90450.00,89233.00,DSF0001009104
3,M191,P.S. 452 - MANHATTAN,DOE - Skilled Trades,SCHOOL ENTRY LOCKING AND EMERGENCY NOTIFICATION SOLUTION,Construction,Complete,7/11/2024,DOES,7/18/2024,DOES,65832.00,9997.00,DSF0001084243
3,M199,P.S. 199 - MANHATTAN,SCA CIP,IPDVS CAMERA INSTALLATION,Scope,Complete,7/18/2023,11/16/2023,7/26/2023,4400,2480.00,2480.00,DSF0001035049
3,M199,P.S. 199 - MANHATTAN,SCA CIP,IPDVS CAMERA INSTALLATION,Design,Complete,7/26/2023,1/24/2024,11/1/2023,19800,9922.00,9922.00,DSF0001035049
3,M199,P.S. 199 - MANHATTAN,SCA CIP,IPDVS CAMERA INSTALLATION,Construction,In-Progress,2/28/2024,12/23/2024,,255200,227463.00,29238.00,DSF0001035049
3,M199,P.S. 199 - MANHATTAN,SCA CIP,IPDVS CAMERA INSTALLATION,"CM,F&E",In-Progress,2/28/2024,12/23/2024,,51564,33473.00,9713.00,DSF0001035049
3,M199,P.S. 199 - MANHATTAN,SCA IEH,PO18-ABATE FOR FLOOR TILES IN STORAGE ROOM B4 TILES ARE 9X9,Construction,Complete,7/25/2024,IEH,10/27/2024,IEH,0.00,0.00,SCA0000073174
3,M199,P.S. 199 - MANHATTAN,DOE - RESOA,FY20 RESO A BATHROOM UPGRADES,Construction,In-Progress,2/26/2021,DOER,,DOER,210783.00,0.00,DSF0000913332
3,M199,P.S. 199 - MANHATTAN,DOE - RESOA,FY22 RESO A AUDITORIUM UPGRADE,Construction,In-Progress,7/15/2024,DOER,,DOER,107298.00,0.00,DSF0001033188
3,M199,P.S. 199 - MANHATTAN,DOE - RESOA,FY23 RESO A BATHROOM UPGRADES,Construction,PNS,PNS,PNS,PNS,DOER,502264.00,0.00,DSF0001035727
3,M199,P.S. 199 - MANHATTAN,DOE - RESOA,FY25 RESO A STEM LAB,Construction,PNS,PNS,PNS,PNS,DOER,275000.00,0.00,DSF0001112848
3,M199,P.S. 199 - MANHATTAN,DOE - Skilled Trades,DEP/DOE WATER CONSERVATION FIXTURE RETROFIT PROGRAM,Construction,In-Progress,9/14/2022,DOES,,DOES,89313.00,0.00,DSF0001009105
3,M199,P.S. 199 - MANHATTAN,DOE - Skilled Trades,WATER MAIN REPLACEMENT,Construction,In-Progress,9/4/2023,DOES,,DOES,175407.00,0.00,DSF0001085614
3,M207,P.S. 149 - MANHATTAN,DOE - RESOA,FY24 RESO A ROOM CONVERSION,Construction,PNS,PNS,PNS,PNS,DOER,41365.00,0.00,DSF0001086268
3,M207,P.S. 149 - MANHATTAN,DOE - Skilled Trades,SCHOOL ENTRY LOCKING AND EMERGENCY NOTIFICATION SOLUTION,Construction,Complete,7/8/2024,DOES,10/10/2024,DOES,65832.00,9967.00,DSF0001084645
3,M342,THE RIVERSIDE SCHOOL FOR MAKERS AND ARTISTS - MANHATTAN,SCA Furniture & Equipment,FY22 RESO A MOBILE STEM LAB,F&E,Complete,11/4/2024,,11/12/2024,100000,100000.00,99566.00,DSF0001033186
3,M342,THE RIVERSIDE SCHOOL FOR MAKERS AND ARTISTS - MANHATTAN,DIIT - RESOA,FY22 RESO A TECHNOLOGY UPGRADE,Purch & Install,PNS,PNS,PNS,PNS,DIIR,50000.00,0.00,DSF0001033672
3,M342,THE RIVERSIDE SCHOOL FOR MAKERS AND ARTISTS - MANHATTAN,DIIT - RESOA,FY25 RESO A TECHNOLOGY UPGRADE,Purch & Install,PNS,PNS,PNS,PNS,DIIR,175000.00,0.00,DSF0001112863
3,M342,THE RIVERSIDE SCHOOL FOR MAKERS AND ARTISTS - MANHATTAN,DOE - RESOA,FY24 RESO A AUDITORIUM UPGRADE,Construction,PNS,PNS,PNS,PNS,DOER,213427.00,0.00,DSF0001086278
3,M342,THE RIVERSIDE SCHOOL FOR MAKERS AND ARTISTS - MANHATTAN,DOE - Skilled Trades,SCHOOL ENTRY LOCKING AND EMERGENCY NOTIFICATION SOLUTION,Construction,Complete,7/1/2024,DOES,7/9/2024,DOES,50832.00,9192.00,DSF0001084648
3,M470,THE URBAN ASSEMBLY SCHOOL FOR GREEN CAREERS,SCA CIP,HVAC (BMS) WORK / BACKFLOW PREVENTER & WATER METER,Scope,Complete,5/20/2013,9/20/2013,11/4/2013,49058,58427.00,48452.00,"DSF0000764431, DSF0000764420"
3,M470,THE URBAN ASSEMBLY SCHOOL FOR GREEN CAREERS,SCA CIP,HVAC (BMS) WORK / BACKFLOW PREVENTER & WATER METER,Design,Complete,11/13/2013,5/15/2014,10/27/2014,189433,210497.00,207760.00,"DSF0000764431, DSF0000764420"
3,M470,THE URBAN ASSEMBLY SCHOOL FOR GREEN CAREERS,SCA CIP,HVAC (BMS) WORK / BACKFLOW PREVENTER & WATER METER,Construction,In-Progress,8/14/2018,10/7/2019,,2941946,3534155.00,3442547.00,"DSF0000764431, DSF0000764420"
3,M470,THE URBAN ASSEMBLY SCHOOL FOR GREEN CAREERS,SCA CIP,HVAC (BMS) WORK / BACKFLOW PREVENTER & WATER METER,"CM,F&E",In-Progress,8/14/2018,10/7/2019,,317281,712661.00,710343.00,"DSF0000764431, DSF0000764420"
3,M470,INNOVATION DIPLOMA PLUS,SCA CIP,LOW VOLTAGE ELECTRICAL SYSTEM / VENTILATION / CLIMATE CONTROL,Scope,Complete,2/14/2020,5/14/2020,9/23/2021,112212,104405.00,99517.00,"DSF0000945296, DSF0001019706, DSF0001019693"
3,M470,INNOVATION DIPLOMA PLUS,SCA CIP,LOW VOLTAGE ELECTRICAL SYSTEM / VENTILATION / CLIMATE CONTROL,Design,Complete,10/13/2021,4/19/2022,7/11/2022,561061,598978.00,388374.00,"DSF0000945296, DSF0001019706, DSF0001019693"
3,M470,INNOVATION DIPLOMA PLUS,SCA CIP,LOW VOLTAGE ELECTRICAL SYSTEM / VENTILATION / CLIMATE CONTROL,Construction,In-Progress,5/15/2023,5/13/2025,,12623864,11522246.00,9173611.00,"DSF0000945296, DSF0001019706, DSF0001019693"
3,M470,INNOVATION DIPLOMA PLUS,SCA CIP,LOW VOLTAGE ELECTRICAL SYSTEM / VENTILATION / CLIMATE CONTROL,"CM,F&E",In-Progress,5/15/2023,5/13/2025,,786541,254533.00,254252.00,"DSF0000945296, DSF0001019706, DSF0001019693"
3,M470,THE URBAN ASSEMBLY SCHOOL FOR GREEN CAREERS,SCA CIP RESOA,FY17 RESO A ROOM CONVERSIONS/PARTITIONING,Scope,Complete,6/23/2017,9/25/2017,10/10/2017,0,12421.00,12421.00,DSF0000844926
3,M470,THE URBAN ASSEMBLY SCHOOL FOR GREEN CAREERS,SCA CIP RESOA,FY17 RESO A ROOM CONVERSIONS/PARTITIONING,Design,Complete,1/31/2018,6/18/2018,5/21/2018,41220,49682.00,39615.00,DSF0000844926
3,M470,THE URBAN ASSEMBLY SCHOOL FOR GREEN CAREERS,SCA CIP RESOA,FY17 RESO A ROOM CONVERSIONS/PARTITIONING,Construction,In-Progress,7/9/2018,4/4/2019,,604563,613632.00,546607.00,DSF0000844926
3,M470,THE URBAN ASSEMBLY SCHOOL FOR GREEN CAREERS,SCA CIP RESOA,FY17 RESO A ROOM CONVERSIONS/PARTITIONING,"CM,F&E",In-Progress,7/9/2018,4/4/2019,,41763,92754.00,90781.00,DSF0000844926
3,M470,FRANK MCCOURT HS- MANHATTAN,SCA Emergency Response,EMERGENCY TEMPORARY FUEL TANK @ M470,Construction,In-Progress,10/2/2023,EMER,,EMER,509720.00,368411.00,SCA0000072189
3,M470,FRANK MCCOURT HS- MANHATTAN,Fast Track Projects,PATH OF TRAVEL CTF ROOM CONVERSION,Construction,In-Progress,9/6/2023,FTK,,FTK,304691.00,262011.00,DSF0001083826
3,M470,THE URBAN ASSEMBLY SCHOOL FOR GREEN CAREERS,DOE - RESOA,FY22 RESO A HYDROPONICS LAB,Construction,Complete,11/10/2022,DOER,6/24/2023,DOER,288329.00,244847.00,DSF0001034940
3,M470,INNOVATION DIPLOMA PLUS,DOE - RESOA,FY25 RESO A GYMNASIUM UPGRADE,Construction,PNS,PNS,PNS,PNS,DOER,100000.00,0.00,DSF0001112883
3,M470,THE URBAN ASSEMBLY SCHOOL FOR GREEN CAREERS,DOE - RESOA,FY25 RESO A STEM LAB,Construction,PNS,PNS,PNS,PNS,DOER,75000.00,0.00,DSF0001112884
3,M470,FRANK MCCOURT HS- MANHATTAN,DOE - Skilled Trades,SCHOOL ENTRY LOCKING AND EMERGENCY NOTIFICATION SOLUTION,Construction,Complete,10/21/2024,DOES,11/12/2024,DOES,65832.00,,DSF0001084958
3,M485,FIORELLO LAGUARDIA HS - MANHATTAN,SCA CIP,STAIRWELL WALLS,Scope,Complete,5/25/2023,9/25/2023,9/21/2023,31036,36304.00,36304.00,DSF0001085138
3,M485,FIORELLO LAGUARDIA HS - MANHATTAN,SCA CIP,STAIRWELL WALLS,Design,Complete,10/2/2023,3/7/2024,5/10/2024,155181,114433.00,108134.00,DSF0001085138
3,M485,FIORELLO LAGUARDIA HS - MANHATTAN,SCA CIP,STAIRWELL WALLS,Construction,PNS,PNS,PNS,PNS,3491582,3491582.00,21644.00,DSF0001085138
3,M485,FIORELLO LAGUARDIA HS - MANHATTAN,SCA CIP,STAIRWELL WALLS,"CM,F&E",PNS,PNS,PNS,PNS,217254,217254.00,26114.00,DSF0001085138
3,M485,FIORELLO LAGUARDIA HS - MANHATTAN,SCA CIP,RPZ BACKFLOW PREVENTION DEVICES / FIRE SPRINKLER SYSTEM,Scope,Complete,5/18/2020,1/29/2021,8/11/2020,29299,59138.00,59138.00,"DSF0000890566, DSF0000945398"
3,M485,FIORELLO LAGUARDIA HS - MANHATTAN,SCA CIP,RPZ BACKFLOW PREVENTION DEVICES / FIRE SPRINKLER SYSTEM,Design,Complete,8/19/2020,7/28/2021,7/28/2021,137177,235677.00,227065.00,"DSF0000890566, DSF0000945398"
3,M485,FIORELLO LAGUARDIA HS - MANHATTAN,SCA CIP,RPZ BACKFLOW PREVENTION DEVICES / FIRE SPRINKLER SYSTEM,Construction,In-Progress,7/21/2022,1/11/2024,,2280149,2153366.00,1983726.00,"DSF0000890566, DSF0000945398"
3,M485,FIORELLO LAGUARDIA HS - MANHATTAN,SCA CIP,RPZ BACKFLOW PREVENTION DEVICES / FIRE SPRINKLER SYSTEM,"CM,F&E",In-Progress,7/21/2022,1/11/2024,,275011,383551.00,378240.00,"DSF0000890566, DSF0000945398"
3,M485,FIORELLO LAGUARDIA HS - MANHATTAN,SCA CIP RESOA,FY15 RESO A TECHNICAL THEATER SHOP,Scope,Complete,5/14/2015,9/14/2015,12/23/2015,0,216895.00,214889.00,DSF0000800083
3,M485,FIORELLO LAGUARDIA HS - MANHATTAN,SCA CIP RESOA,FY15 RESO A TECHNICAL THEATER SHOP,Design,Complete,7/28/2016,3/28/2017,9/19/2018,285834,800614.00,734966.00,DSF0000800083
3,M485,FIORELLO LAGUARDIA HS - MANHATTAN,SCA CIP RESOA,FY15 RESO A TECHNICAL THEATER SHOP,Construction,In-Progress,6/10/2022,12/1/2023,,4192225,2696112.00,2564537.00,DSF0000800083
3,M485,FIORELLO LAGUARDIA HS - MANHATTAN,SCA CIP RESOA,FY15 RESO A TECHNICAL THEATER SHOP,"CM,F&E",In-Progress,6/10/2022,12/1/2023,,489263,754200.00,732512.00,DSF0000800083
3,M485,FIORELLO LAGUARDIA HS - MANHATTAN,SCA CIP RESOA,PATH OF TRAVEL RESO A AUDITORIUM UPGRADE,Scope,PNS,PNS,PNS,PNS,0,0.00,0.00,DSF0001087045
3,M485,FIORELLO LAGUARDIA HS - MANHATTAN,SCA CIP RESOA,PATH OF TRAVEL RESO A AUDITORIUM UPGRADE,Design,PNS,PNS,PNS,PNS,0,0.00,0.00,DSF0001087045
3,M485,FIORELLO LAGUARDIA HS - MANHATTAN,SCA CIP RESOA,PATH OF TRAVEL RESO A AUDITORIUM UPGRADE,Construction,PNS,PNS,PNS,PNS,0,0.00,0.00,DSF0001087045
3,M485,FIORELLO LAGUARDIA HS - MANHATTAN,SCA CIP RESOA,PATH OF TRAVEL RESO A AUDITORIUM UPGRADE,"CM,F&E",PNS,PNS,PNS,PNS,0,0.00,0.00,DSF0001087045
3,M485,FIORELLO LAGUARDIA HS - MANHATTAN,DOE - RESOA,FY24 RESO A AUDITORIUM UPGRADE,Construction,PNS,PNS,PNS,PNS,DOER,825000.00,0.00,DSF0001086303
3,M485,FIORELLO LAGUARDIA HS - MANHATTAN,DOE - Skilled Trades,SCHOOL ENTRY LOCKING AND EMERGENCY NOTIFICATION SOLUTION,Construction,Complete,10/1/2024,DOES,11/25/2024,DOES,50832.00,,DSF0001084962
3,M485,FIORELLO LAGUARDIA HS - MANHATTAN,DOE - Skilled Trades,CAFETERIA ENHANCEMENT EXPERIENCE,Construction,In-Progress,2/27/2024,DOES,,DOES,814967.00,0.00,DSF0001085744
3,M485,FIORELLO LAGUARDIA HS - MANHATTAN,DOE - Skilled Trades,HOT WATER HEATER SYSTEM REPLACEMENT,Construction,In-Progress,12/11/2023,DOES,,DOES,94271.00,0.00,DSF0001070541
3,M485,FIORELLO LAGUARDIA HS - MANHATTAN,DOE - Skilled Trades,COOLING TOWER FILL REPLACEMENT,Construction,In-Progress,5/16/2024,DOES,,DOES,121500.00,0.00,DSF0001111868
3,M490,SCHOOL SAFETY - MANHATTAN,SCA CIP,CAFETERIA UPGRADE / AHU REPLACEMENT,Scope,Complete,5/4/2021,9/2/2021,11/16/2021,89950,70680.00,70680.00,"DSF0001008857, DSF0001019856"
3,M490,SCHOOL SAFETY - MANHATTAN,SCA CIP,CAFETERIA UPGRADE / AHU REPLACEMENT,Design,Complete,12/1/2021,4/19/2022,10/7/2022,449750,400858.00,335840.00,"DSF0001008857, DSF0001019856"
3,M490,SCHOOL SAFETY - MANHATTAN,SCA CIP,CAFETERIA UPGRADE / AHU REPLACEMENT,Construction,In-Progress,8/7/2023,2/6/2026,,10119375,9152849.00,3829316.00,"DSF0001008857, DSF0001019856"
3,M490,SCHOOL SAFETY - MANHATTAN,SCA CIP,CAFETERIA UPGRADE / AHU REPLACEMENT,"CM,F&E",In-Progress,8/7/2023,2/6/2026,,778696,467604.00,301327.00,"DSF0001008857, DSF0001019856"
3,M490,HS FOR ARTS & TECHNOLOGY - M,SCA CIP,AUDITORIUM FIRE SAFETY SYSTEM UPGRADE,Scope,Complete,6/8/2022,9/7/2022,8/30/2022,14950,22740.00,22740.00,DSF0001034924
3,M490,HS FOR ARTS & TECHNOLOGY - M,SCA CIP,AUDITORIUM FIRE SAFETY SYSTEM UPGRADE,Design,Complete,9/12/2022,3/20/2023,4/21/2023,74750,116651.00,14787.00,DSF0001034924
3,M490,HS FOR ARTS & TECHNOLOGY - M,SCA CIP,AUDITORIUM FIRE SAFETY SYSTEM UPGRADE,Construction,In-Progress,4/18/2024,10/9/2025,,1681875,1696592.00,133147.00,DSF0001034924
3,M490,HS FOR ARTS & TECHNOLOGY - M,SCA CIP,AUDITORIUM FIRE SAFETY SYSTEM UPGRADE,"CM,F&E",In-Progress,4/18/2024,10/9/2025,,104650,155945.00,123671.00,DSF0001034924
3,M490,HS FOR ARTS & TECHNOLOGY - M,SCA CIP,SWIMMING POOL / PATH OF TRAVEL SWIMMING POOL,Scope,Complete,6/14/2023,3/8/2024,3/15/2024,73928,77040.00,77040.00,"DSF0001070582, DSF0001111814"
3,M490,HS FOR ARTS & TECHNOLOGY - M,SCA CIP,SWIMMING POOL / PATH OF TRAVEL SWIMMING POOL,Design,Complete,4/3/2024,8/6/2024,8/13/2024,344878,244582.00,237281.00,"DSF0001070582, DSF0001111814"
3,M490,HS FOR ARTS & TECHNOLOGY - M,SCA CIP,SWIMMING POOL / PATH OF TRAVEL SWIMMING POOL,Construction,PNS,PNS,PNS,PNS,5459466,5459466.00,82253.00,"DSF0001070582, DSF0001111814"
3,M490,HS FOR ARTS & TECHNOLOGY - M,SCA CIP,SWIMMING POOL / PATH OF TRAVEL SWIMMING POOL,"CM,F&E",PNS,PNS,PNS,PNS,544518,544518.00,44412.00,"DSF0001070582, DSF0001111814"
3,M490,HS FOR ARTS & TECHNOLOGY - M,SCA CIP RESOA,RESO A MOBILE SCIENCE LABS,Scope,PNS,PNS,PNS,PNS,0,0.00,0.00,DSF0001112309
3,M490,HS FOR ARTS & TECHNOLOGY - M,SCA CIP RESOA,RESO A MOBILE SCIENCE LABS,Design,PNS,PNS,PNS,PNS,7080,7080.00,0.00,DSF0001112309
3,M490,HS FOR ARTS & TECHNOLOGY - M,SCA CIP RESOA,RESO A MOBILE SCIENCE LABS,Construction,PNS,PNS,PNS,PNS,103840,103840.00,0.00,DSF0001112309
3,M490,HS FOR ARTS & TECHNOLOGY - M,SCA CIP RESOA,RESO A MOBILE SCIENCE LABS,"CM,F&E",PNS,PNS,PNS,PNS,123415,116335.00,0.00,DSF0001112309
3,M490,P.S. 859 - MANHATTAN,SCA Furniture & Equipment,FY23 RESO A MOBILE SCIENCE LAB,F&E,PNS,PNS,PNS,PNS,50000,50000.00,0.00,DSF0001035768
3,M490,THE MAXINE GREEN HIGH SCHOOL FOR  IMAGINATIVE INQUIRY - M,Fast Track Projects,FY20 RESO A INTERIOR SPACES,Construction,In-Progress,7/7/2022,FTK,,FTK,190034.00,182606.00,DSF0000913097
3,M490,P.S. 859 - MANHATTAN,DIIT - Project Connect,CLASSROOM CONNECTIVITY,Purch & Install,In-Progress,11/1/2019,DIIT,,DIIT,116665.00,0.00,DSF0000960055
3,M490,HUNTER SCIENCE HS - MANHATTAN,DIIT - RESOA,FY22 RESO A TECHNOLOGY UPGRADE,Purch & Install,PNS,PNS,PNS,PNS,DIIR,50000.00,0.00,DSF0001033718
3,M490,HS FOR ARTS & TECHNOLOGY - M,DIIT - RESOA,FY24 RESO A TECHNOLOGY UPGRADE,Purch & Install,Complete,5/28/2024,DIIR,8/6/2024,DIIR,193000.00,74718.00,DSF0001086307
3,M490,HUNTER SCIENCE HS - MANHATTAN,DIIT - RESOA,FY25 RESO A TECHNOLOGY UPGRADE,Purch & Install,PNS,PNS,PNS,PNS,DIIR,75000.00,0.00,DSF0001112897
3,M490,P.S. 859 - MANHATTAN,DOE - RESOA,FY17 RESO A ROOM CONVERSIONS/PARTITIONING,Construction,PNS,PNS,PNS,PNS,DOER,88818.00,0.00,DSF0000844211
3,M490,P.S. 859 - MANHATTAN,DOE - RESOA,FY22 RESO A AUDITORIUM UPGRADE,Construction,In-Progress,4/15/2024,DOER,,DOER,722884.00,0.00,DSF0001033249
3,M490,SCHOOL SAFETY - MANHATTAN,DOE - Skilled Trades,INTERIOR SPACES,Construction,In-Progress,11/1/2020,DOES,,DOES,663032.00,0.00,DSF0000994249
3,M490,SCHOOL SAFETY - MANHATTAN,DOE - Skilled Trades,LIGHTING UPGRADE,Construction,In-Progress,3/12/2021,DOES,,DOES,145591.00,0.00,DSF0001008734
3,M490,SCHOOL SAFETY - MANHATTAN,DOE - Skilled Trades,INTERIOR SPACES,Construction,In-Progress,3/29/2021,DOES,,DOES,302521.00,0.00,DSF0001008737
3,M490,SCHOOL BASED HEALTH CENTER - MANHATTAN,DOE - Skilled Trades,STUDENT BATHROOM UPGRADE,Construction,In-Progress,7/2/2021,DOES,,DOES,620614.00,0.00,DSF0001008823
3,M490,HS FOR ARTS & TECHNOLOGY - M,DOE - Skilled Trades,SCHOOL ENTRY LOCKING AND EMERGENCY NOTIFICATION SOLUTION,Construction,In-Progress,6/10/2024,DOES,,DOES,65832.00,0.00,DSF0001084964
3,M506,EDWARD A. REYNOLDS WEST SIDE HS-M,DOE - Skilled Trades,ADA SHELTER COMPLIANCE,Construction,In-Progress,6/15/2021,DOES,,DOES,278403.00,0.00,DSF0000865898
